Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verfied,User Since,Location,Bio,Profile Image,Google Maps
1/28/2016,@fsog_greysessed,Michelle | FSD,"""I want to chase the dawn with you."" ❤️ Filming the glider scene at Boundary Bay Airport >&gt; #FiftyShades {1.28.14} https://t.co/PDfsgO4dQN",692693827707125760,Twitter for iPhone,6933,689,2,19,No,7/28/2014,New York • Seattle,"Welcome! This is a fan page for #FiftyShades, #DakotaJohnson, #JamieDornan & @E_L_James • Follow for daily news and updates • #GREYSESSED • Laters, Baby ;)",View,
1/28/2016,@fsog_greysessed,Michelle | FSD,BTS • #JamieDornan and #DakotaJohnson on set of #FiftyShades filming the gliding scene. 💙 {1.28.14} https://t.co/8j1oyiAqqT,692694997783699456,Twitter for iPhone,6933,689,28,83,No,7/28/2014,New York • Seattle,"Welcome! This is a fan page for #FiftyShades, #DakotaJohnson, #JamieDornan & @E_L_James • Follow for daily news and updates • #GREYSESSED • Laters, Baby ;)",View,
1/28/2016,@fsog_greysessed,Michelle | FSD,This scene always gives me the chills! Charlie Tango too! 😉❤️ #FiftyShades #JamieDornan #DakotaJohnson https://t.co/pXsraKqDmf,692701125900910593,Twitter for iPhone,6933,689,17,40,No,7/28/2014,New York • Seattle,"Welcome! This is a fan page for #FiftyShades, #DakotaJohnson, #JamieDornan & @E_L_James • Follow for daily news and updates • #GREYSESSED • Laters, Baby ;)",View,
1/28/2016,@fsog_greysessed,Michelle | FSD,Flying home in Charlie Tango 🚁❤️ {1.28.14} #FiftyShades https://t.co/WPemT5H9kE,692701523063758849,Twitter for iPhone,6933,689,4,21,No,7/28/2014,New York • Seattle,"Welcome! This is a fan page for #FiftyShades, #DakotaJohnson, #JamieDornan & @E_L_James • Follow for daily news and updates • #GREYSESSED • Laters, Baby ;)",View,
1/28/2016,@fiftyshadesqc,FiftyShadesQc,Happy Thursday <3 #FiftyShades https://t.co/boKMQEnBCT,692701530156339201,Twitter for iPhone,2960,258,9,41,No,7/14/2015,"Québec, Canada","Marie, fan of #FiftyShades and @E_L_James | Infos Qc | #IncurableRomantic #FanGirl | New-Nouveau | Contact: fiftyshadesqc@gmail.com",View,
1/28/2016,@vinanurwanita2,mpiehpin2,"""That's one hell of a sack, Miss Steele."" #FiftyShades https://t.co/cuKsjsDPqE",692741068547182592,Twitter for Android,1503,2186,0,3,No,5/24/2014,Indonesia,*Super Junior* @donghae861015 *EunHae * @iansomerhalder *Delena* @JamieDornan @MattBomer @SerkanCayoglu @baris_arduc,View,
1/28/2016,@amuletts,Amy Letts,Fifty Shades of Grey featuring Mr Bean https://t.co/yOlJ6V576f #FiftyShadesofBean #FiftyShades,692750557220503553,TweetDeck,7889,7940,1,0,No,1/18/2009,"Oxford, UK","Website Designer, Webcomic artist and Illustrator. Your go-to creative person. Gamer/geek/trekkie. I follow back.",View,
1/28/2016,@DakotaJWorld,Dakota Johnson | FSD,Do you think Elliot and Kate are the perfect couple? #FiftyShades,692753203075661824,Twitter for iPhone,5228,104,0,10,No,6/14/2012,,"24/7 Daily Twitter source dedicated to the amazing, sweet, funny and talented actress... Dakota Mayi Johnson.",View,
1/28/2016,@DakotaJWorld,Dakota Johnson | FSD,Kate or Mia? #FiftyShades,692754250816970752,Twitter for iPhone,5228,104,0,10,No,6/14/2012,,"24/7 Daily Twitter source dedicated to the amazing, sweet, funny and talented actress... Dakota Mayi Johnson.",View,
1/28/2016,@dakotaforevere,Ana,I need this... #FiftyShades https://t.co/jjM8cHfSnO,692754952867991552,Twitter for iPhone,854,579,8,29,No,12/13/2015,"Seattle, WA",",”You wanted hearts and flowers,” . “You have my heart.” . “And here are the flowers.”, #Darker",View,
1/28/2016,@AnaSteel95,Anastasia Steele,"QUOTE THE DAY !! YOU ARE MINE, ONLY MINE. DON'T FORGET IT <3 #ChristianGrey #AnastasiaSteel #FiftyShades @E_L_James https://t.co/W8fv12ZF7J",692757353217785856,Twitter Web Client,1107,380,15,44,No,12/8/2015,"Seattle, WA",Official Account @Twitter of Anastasia Steele || WSU Graduate ||Editor in Chief at Grey Publishing.,View,
1/28/2016,@vinanurwanita2,mpiehpin2,Ana Steele and Christian Grey #FiftyShades https://t.co/yvfR5uULHp,692759451565076481,Twitter for Android,1503,2186,0,1,No,5/24/2014,Indonesia,*Super Junior* @donghae861015 *EunHae * @iansomerhalder *Delena* @JamieDornan @MattBomer @SerkanCayoglu @baris_arduc,View,
1/28/2016,@EmmaCalin,Emma Calin,"As tough as #TheMet, sexier than #FiftyShades. The 1st one's #FREE https://t.co/X39alayuwO #romance #suspense #ebook https://t.co/5dJ0zxhFUU",692761424775495681,Gremln,6638,7231,3,0,No,5/25/2011,France,"Novelist, philosopher, blogger, poet, would-be master chef. A woman pedaling between Peckham & Pigalle, in search of passion & enduring romance.",View,
1/28/2016,@AnaSteel95,Anastasia Steele,"""If you were mine, you wouldn't be able to sit down for a week."" ""I gotta go take a shower"" #FiftyShades https://t.co/xdn9ryH5qi",692767403986554880,Twitter Web Client,1107,380,7,35,No,12/8/2015,"Seattle, WA",Official Account @Twitter of Anastasia Steele || WSU Graduate ||Editor in Chief at Grey Publishing.,View,
1/28/2016,@FangirlAuthor,ThatFangirlAuthor,This week's #StateOfConfusion teaser: https://t.co/Y4h6oL6U22 #FiftyShades @wattpadfanfic,692769813035257856,Twitter for iPhone,178,97,2,5,No,7/20/2015,WattPad,Twenty-something. WattPad Author. Writer. Fangirl. Book Reviewer. My book boyfriend list is endless. Over 23k reads on Wattpad.,View,
1/28/2016,@AnaSteel95,Anastasia Steele,"“I love this man: my husband, my lover, father of my child, my sometimes Dominant ..my Fifty Shades.” #FiftyShades https://t.co/GmZt6Qe1vo",692771897864486912,Twitter Web Client,1107,380,13,49,No,12/8/2015,"Seattle, WA",Official Account @Twitter of Anastasia Steele || WSU Graduate ||Editor in Chief at Grey Publishing.,View,
1/28/2016,@dakotaforevere,Ana,Babies 💙 #FiftyShades https://t.co/Kgv1UMJ83b,692778288499068928,Twitter for iPhone,854,579,8,32,No,12/13/2015,"Seattle, WA",",”You wanted hearts and flowers,” . “You have my heart.” . “And here are the flowers.”, #Darker",View,
1/28/2016,@FiftyShadesTW,Fifty Shades TW,Good night! 😚💕 #FiftyShades #AnastasiaSteele #ChristianGrey #DakotaJohnson #JamieDornan https://t.co/KYlwOp6XDU,692780990142394368,Twitter for iPhone,499,192,5,20,No,5/20/2015,Taiwan,The Fan Page of Fifty Shades.❤️☕ We aim to please. #FiftyShades #JamieDornan #DakotaJohnson #ELJames #LoveStory #LaterBaby #FanGirl,View,
1/28/2016,@fiftyseries,Fifty Shades of Grey,Dragons' Den star met up to 100 women on Fifty Shades 'sugar daddy' role play site - Telegraph https://t.co/tt4pa9T7ps #FiftyShades,692781767812521984,twitterfeed,21625,24,0,1,No,9/12/2012,,"For fans of the Fifty Shades of Grey series - everything you'd like to know about the books, characters and upcoming film.",View,
1/28/2016,@JamieDornanTW,Jamie Dornan TW,Have a great night! 💙 #FiftyShades #ChristianGrey #JamieDornan #傑米多南 #傑米道南 https://t.co/hBCESJs2gC,692782036474462208,Twitter for iPhone,527,130,4,21,No,5/24/2015,Taiwan,The Fan Page of Jamie Dornan. 傑米.道南台灣粉絲團 #JamieDornan #傑米多南 #傑米道南,View,
1/28/2016,@AllJamieDNews,JamieDornanNews,OMG how beautiful!!! 💓 #Damie #Fiftyshades #set ;) https://t.co/oqzxhgbOdC,692784762503729153,Twitter for iPhone,1850,162,6,30,No,3/16/2015,Germany/Istanbul/London,News of my damn fuck***;) nice Irish guy!!with a beautiful heart @JamieDornan ;-) &Amazing good Actor/Model! #FSOG I'm @ZaraKaya1,View,
1/28/2016,@TheCaraSutra,Cara Sutra,#FiftyShades fan? Buy the official @fiftyshadestoys from @SaveMyBlushes https://t.co/HIkkKAAvBb #ad https://t.co/BAEYdg8zOj,692788105166753792,smqueue,12093,388,0,1,No,8/25/2009,"Lincolnshire, UK","Blogger, writer, dildo diddler. Not safe for anything, especially polite company. Won some awards. Made a bondage kit. Will defend my kinks to the little death.",View,
1/28/2016,@msnireland,MSN Ireland,#DragonsDen star met up to 100 girls on #FiftyShades role play site #DougRichard https://t.co/0MHut9Vwam https://t.co/aGlaUABgyU,692792017974329344,Buffer,1009,44,0,0,No,1/18/2012,,"Hotmail, Entertainment, News, Sport, Lifestyle and Games at MSN Ireland.",View,
1/28/2016,@LatersBabyFR,LatersBabyFR,🎶 cause you err err err err earned it 🎶 #Theweeknd #FiftyShades #Oscars2016 https://t.co/zPCu08fmKn,692792062584995842,Twitter for Android,1314,478,2,4,No,10/24/2015,France,Strictly Fifty! A place to share our love & support to @E_L_James #FiftyShades books and movies! This account is run by Christine @lil_caribou,View,
1/28/2016,@50ShadesJewelry,FiftyShadesJewelry,We will have a Valentine's Day Sale!!! Stay tuned. #FiftyShades,692796608694611969,Twitter for iPhone,5548,507,37,109,No,2/11/2013,"New York, NY","The Fifty Shades of Grey™ Fine Jewelry Collection from @JanetCadsawan. Approved by @E_L_James. Follow for news, bling & giveaways. WE SHIP WORLDWIDE.",View,
1/28/2016,@Israelgirly,Rika-Germany,"GREYtest support shirts 4 #FiftyShades QUEEN #ELJames - ""Team Erika"" -->https://t.co/57OBLzoNHj https://t.co/n80mPTGbbn",692796690118635520,Twitter Web Client,1545,1584,0,1,No,1/17/2011,ShirtWorld,Fangirl :) #FiftyShades #JamieDornan AND #AmeliaWarner #MattBomer #Dallas #LeightonMeester #GossipGirl #OnceUponATime #Warehouse13 #WhenCallsTheHeart,View,
1/28/2016,@TheNutt_,TheOGNutt,As I person who's crazy about #FiftyShades I watched the movie again & realized that it isn't the greatest. 😖,692799060072386560,Twitter for iPhone,412,153,0,4,No,11/17/2012,IG/Vine : TheOGNut,Your name's really Nut?!,View,
1/28/2016,@50ShadesJewelry,FiftyShadesJewelry,The weather in NYC reminds me of #fiftyshades red carpet @TODAYshow event last year. Met so many AWESOME people.,692799636914978816,Twitter for iPhone,5548,507,0,3,No,2/11/2013,"New York, NY","The Fifty Shades of Grey™ Fine Jewelry Collection from @JanetCadsawan. Approved by @E_L_James. Follow for news, bling & giveaways. WE SHIP WORLDWIDE.",View,
1/28/2016,@AnaSteel95,Anastasia Steele,Goodnight to all < 3 good morning or good evening to all of my friends from other countries! &lt;3 #FiftyShades https://t.co/HI9JQ70b4j,692799972035682304,Twitter Web Client,1107,380,7,34,No,12/8/2015,"Seattle, WA",Official Account @Twitter of Anastasia Steele || WSU Graduate ||Editor in Chief at Grey Publishing.,View,
1/28/2016,@ChristianT_G1,Christian Grey©,Mr. Jason Taylor #FiftyShades https://t.co/ZuflYUijjA,692800074078908417,Twitter for Android,2884,2004,1,4,No,8/2/2014,"Seattle, Washington","CEO, Grey Enterprises Holdings Inc. || Engaged to @BellMikaelson 12.5.14. || Brother to @MiaGrey7. || @50sGreyHouseRP",View,
1/28/2016,@CtgreyGrey,Christian Grey,Need more followers!!! #mrgrey #fiftyshades #FiftyShadesDarker #christiangrey #50shades #anastasia,692802177425891328,Twitter for iPhone,2217,4981,0,0,No,1/2/2015,,"I'm Christian, have you signed the contract yet......and dare you enter my Red Room.....? #50shades #50shadesofgrey #MrGrey #fsog #kinky #fiftyshadesofgrey",View,
1/28/2016,@JamieDornanNI,Jamie Dornan NI,"""Sweetest man alive"" & so say all of us! #JamieDornan's done with The Fall. Next up... #FiftyShades in Vancouver! https://t.co/NDAj6DhK2j",692805832887640064,Twitter Web Client,11433,340,8,48,No,1/11/2014,Northern Ireland,"A Northern Ireland based fan page on Twitter, Facebook, YouTube, Instagram & Pinterest for all things Jamie Dornan",View,
1/28/2016,@DakotaJWorld,Dakota Johnson | FSD,This guy was talking a lot of smack about #FiftyShades so I yelled at him 😂 @E_L_James https://t.co/IdJ8KJf61F,692806107681656832,Twitter for iPhone,5228,104,12,23,No,6/14/2012,,"24/7 Daily Twitter source dedicated to the amazing, sweet, funny and talented actress... Dakota Mayi Johnson.",View,
1/28/2016,@FSOG_Damie,Fifty Shades ❤,Good Morning my FAMILY!!! Day sexy with Jamie and Dakota!!!😻💜😍❤ #DakotaJohnson #JamieDornan #FiftyShades #Dakoholics https://t.co/gCU8hb37Yw,692806641432002560,Twitter for Android,2208,906,8,34,No,8/15/2014,http://tumblr.com/lolough/,Fan of #JamieDornan #DakotaJohnson #WillowSmith #JadenSmith... Tumblr: @Lolough Wattpad: @ellocastro SnapChat: elloahacsttro,View,
1/28/2016,@AnaSGrey,Anastasia Steele,When browsing for books becomes a photo shoot. #FiftyShades https://t.co/6JsWC0PHsN,692807657111969792,Twitter for iPhone,40410,429,2,27,No,4/18/2012,"Seattle, Washington, Worldwide",Love is Grey...|WSU Graduate| |Editor in Chief at Grey Publishing| Fifty Shades Of Grey Trilogy @FiftyShades by @E_L_James #FiftyShades,View,
1/28/2016,@FiftyShadesFilm,Fifty Shades of Grey,"Onto #Darker #FiftyShades “@GillianA Jamie Dornan, sweetest man alive, just wrapped season 3 of @TheFallTV. https://t.co/rUfQCo05Oj””",692808889109053440,Plume for Android,56406,27752,6,15,No,3/24/2012,USA,"The First & Leading Source on #FiftyShades of Grey. Follow us for all the Breaking News & Information on the books, author & movies! #OfficialFifty Member",View,
1/28/2016,@dakotaforevere,Ana,"I see love in your eyes,don't you? 🙊🙊🙊👁 #FiftyShades https://t.co/LKy3I8g7H9",692810621960744960,Twitter for iPhone,854,579,4,23,No,12/13/2015,"Seattle, WA",",”You wanted hearts and flowers,” . “You have my heart.” . “And here are the flowers.”, #Darker",View,
1/28/2016,@fsog_greysessed,Michelle | FSD,The Ziegfeld Theater is closing its doors tonight! Such wonderful memories there for the #FiftyShades screening! ❤️ https://t.co/O8ckX6qvAX,692811282408411136,Twitter for iPhone,6933,689,4,36,No,7/28/2014,New York • Seattle,"Welcome! This is a fan page for #FiftyShades, #DakotaJohnson, #JamieDornan & @E_L_James • Follow for daily news and updates • #GREYSESSED • Laters, Baby ;)",View,
1/28/2016,@mattrobbo15,Matt Robinson,@SoundRadioWinch there's plenty of Matt to go around guys #FiftyShades,692815635311673345,Twitter for Android,644,716,0,0,No,9/1/2009,London + Winch,"I do a lot of things from sports to drinking to acting to singing to all of them at once. I think I'm funny, you may not. You probably will though #Gooner",View,
1/28/2016,@collettemariee_,collettemariee ✌,Is it Monday yet so I can just go get my hair did 💁🏼 #fiftyshades,692817519875375106,Twitter for iPhone,321,216,0,0,No,2/7/2012,,"Your here for a good time, not a long time - N ❤️",View,
1/28/2016,@FiftyShadesEN,Fifty Shades Darker,Long hair are back for Darker! #DakotaJohnson #FiftyShades https://t.co/0X1b9qFQOE,692825437513355265,Twitter for iPhone,99717,88,186,401,No,9/12/2013,Cannes / Seattle / Portland,"24/7 Daily First Source on #FiftyShades and their two leading stars @JamieDornan and #DakotaJohnson. We provide latest news, pictures and exclusives since 2013.",View,
1/28/2016,@AnaSGrey,Anastasia Steele,Dark locks are back. #FiftyShades https://t.co/ebXQrjnSJK,692828662249357313,Twitter for iPhone,40410,429,21,61,No,4/18/2012,"Seattle, Washington, Worldwide",Love is Grey...|WSU Graduate| |Editor in Chief at Grey Publishing| Fifty Shades Of Grey Trilogy @FiftyShades by @E_L_James #FiftyShades,View,
1/28/2016,@ETCanada,ET Canada,#DakotaJohnson tells @NETAPORTER she's not ready to stop dating bread 4 #FiftyShades Pt2 & 3 https://t.co/4wGvRlnc2g https://t.co/GzjwGLhjpO,692828675146850304,Twitter Web Client,273136,11991,32,61,No,3/23/2009,Canada,"The nation’s entertainment powerhouse, we set the pace with more breaking news, in-depth profiles & exclusives than anyone else. Weeknights on @Global_TV 7:30",View,
1/28/2016,@AnaSGrey,Anastasia Steele,Darker is coming.... Are you ready? #FiftyShades,692829683788828672,Twitter for iPhone,40410,429,11,42,No,4/18/2012,"Seattle, Washington, Worldwide",Love is Grey...|WSU Graduate| |Editor in Chief at Grey Publishing| Fifty Shades Of Grey Trilogy @FiftyShades by @E_L_James #FiftyShades,View,
1/28/2016,@Laiira,Laira Tomaz,Am I the only one who wants Army on Darker soundtrack? #FiftyShadesDarker #FiftyShades @E_L_James https://t.co/q0KWdtx4Ql,692829798507237376,Twitter Web Client,400,587,0,0,No,4/13/2009,Rio de Janeiro - Brazil,"Brazilian from Rio. Journalism student. Huge fan of M5 and John Mayer. K&R. John Green and Dan Brown. Coffee addicted. Italy, England and US are in my ♥.",View,
1/28/2016,@50ShadesFan_,50 Shades Obsessed,Looks like Ana's slowing coming back! Less than a few weeks till #FiftyShades #Darker #FSD starts production!! https://t.co/n5tnmgsiFX,692831175241396229,Twitter for Android,159,115,0,2,No,2/6/2015,"San Francisco/Bay Area, CA",,View,
1/28/2016,@Julia_Abdulla,جوليا عبدالله,#DakotaJohnson tells NETAPORTER she's not ready to stop dating bread 4 #FiftyShades Pt2 & 3 … https://t.co/C0WkPRZdqT,692831302836293632,IFTTT,1626,1549,0,0,No,5/14/2014,الكويت / الجهراء,كل الأشياء ترحل ولا تعــــود.. إلا الدعاء يرحل بالرجاء: ويعـود اخبارET بالعربية والانجلينزية,View,
1/28/2016,@AnaSGrey,Anastasia Steele,February is not Valentines Day in our Fandom. It's #FiftyShadesDarker Month!!! Some people just don't understand.. #FiftyShades,692832635035344896,Twitter for iPhone,40410,429,32,64,No,4/18/2012,"Seattle, Washington, Worldwide",Love is Grey...|WSU Graduate| |Editor in Chief at Grey Publishing| Fifty Shades Of Grey Trilogy @FiftyShades by @E_L_James #FiftyShades,View,
1/28/2016,@GREYsessedsMX,Greysesseds México,#FiftyShades Fans going crazy about #DakotaJohnson's hair. Yes! We all know what does this means and we can't wait! https://t.co/bEqVVGnXli,692833338113941508,Twitter Web Client,899,83,10,21,No,12/4/2014,Mexico City ,"Se parte de Greysesseds México, el Club Oficial de Fans de 50 Sombras en México. #GREYsessedsMX por @50SFilms @FSOGLoveStory & @DornanMex camp.fsogmex@gmail.com",View,
1/28/2016,@50ShadesJewelry,FiftyShadesJewelry,We have a question. Would you want to buy a Red Room Key? We're planning stuff. #FiftyShades https://t.co/R456EBIT1c,692833498818678784,Twitter for iPhone,5548,507,54,202,No,2/11/2013,"New York, NY","The Fifty Shades of Grey™ Fine Jewelry Collection from @JanetCadsawan. Approved by @E_L_James. Follow for news, bling & giveaways. WE SHIP WORLDWIDE.",View,
1/28/2016,@FiftyShadesAG,FIFTY SHADES AG,18 for start the recording for #FiftyShadesDarker 😏. ↓ ↓ { #fiftyshades #dakotajohnson… https://t.co/LAzqFyvU5u,692836991000403969,Instagram,1098,221,0,1,No,11/4/2014,,IN SEASON OF RECORDING FOR @FIFTYSHADES,View,
1/28/2016,@everything_jd,EverythingJD,My fangirl senses are extremely heightened right now! So much #FiftyShades excitement on my TL right now. 😊,692837547844567042,Twitter for iPhone,4137,577,0,7,No,8/27/2014,,"#JamieDornan fan account established in 2014. Adult by day, fangirl & #FiftyShades fanfic writer by night. IG: @everything_JD",View,
1/28/2016,@ShadesOfTayGrey,Ashley,Mrs Anastasia Grey Will See You Now #FiftyShades #FiftyShadesFreed https://t.co/8nSr2FXnkc,692837734151376897,Twitter for iPhone,2351,917,4,8,No,8/3/2014,"Illinois, USA","Welcome To My World. #FiftyShades, #TaylorSwift and #Blackhawks #Kane and #Toews. I'm a bookworm. My Taylor acc is @WorldToTaylor. We Aim To Please :) Tweet Me",View,
1/28/2016,@50GreyTrilogy,50ShadesGreyTrilogy,We have Elena Lincoln - Kim Basinger https://t.co/dwdiZzqO77 via @Variety #FiftyShades #FiftyShadesDarker https://t.co/ClUVR8OK1v,692838648476147712,Twitter Web Client,2076,455,2,10,No,11/12/2014,,We are two young women who love all about Fifty Shades Of Grey. So enjoy our Twitter! Our mail 50shadesofgreytrilogy@gmail.com,View,
1/28/2016,@everything_jd,EverythingJD,Casting News: We have Elena Lincoln! #FiftyShades https://t.co/QVTzHNkVQW,692838731976351745,Twitter for iPhone,4137,577,3,11,No,8/27/2014,,"#JamieDornan fan account established in 2014. Adult by day, fangirl & #FiftyShades fanfic writer by night. IG: @everything_JD",View,
1/28/2016,@ArsenalMge,Paul Spector JD,At the end comes the news cast .KIM Basinger will play Mrs. Robinson! #fiftyshades #FiftyShadesDarker https://t.co/GyYgvVg0HM,692838996997599232,Twitter for Android,3689,1677,14,31,No,8/23/2011,izmir / Grey,Father . Husband ❤. Actor . Bad Golfer Jamie♥ #DJJD #DAMİE #jamelia #DakotaJamie #Dornan #Johnson #MeBeforeYou Grey&Darker,View,
1/28/2016,@AnaSGrey,Anastasia Steele,Troll Bitch. Aka Mrs. Robinson. #FiftyShades https://t.co/SIgkH8GLVl,692839205785841664,Twitter for iPhone,40410,429,5,27,No,4/18/2012,"Seattle, Washington, Worldwide",Love is Grey...|WSU Graduate| |Editor in Chief at Grey Publishing| Fifty Shades Of Grey Trilogy @FiftyShades by @E_L_James #FiftyShades,View,
1/28/2016,@Alicia1985,Alicia Hodgson,Yeah I can see it. Kinda how I pictured her 👍 #fiftyshades https://t.co/xvD7lxTnkG,692839406353317889,Twitter for Android,125,332,0,0,No,1/29/2009,"Pontefract, West Yorkshire, En","I'm Ali, lover of fashion, food, wine, & all my family & friends. My name is pronounced Alice-ee-ya not Alee-sha. Get it wrong & it's off with your head! Ha ;)",View,
1/28/2016,@tiffthebooknerd,Tiffany Williams,My day was just made!!!!!! #KimBasinger #FiftyShades #FSOG #Elena #MrsRobinson @e_l_james https://t.co/FeO40STwWD,692839798898229249,Instagram,391,658,0,0,No,9/22/2011,"nashville, tn",Life's too short to be normal! Never frown because you never know who's fallen in love with your smile:) I love to read and review books! #booknerd,View,
1/28/2016,@AriRose50,Ariana Rose,@Weaimtoplease50 @E_L_James Welcome indeed! #FiftyShades #TeamFifty,692840121612181507,Twitter for Android,213,617,0,1,No,3/22/2014,Seattle ~ Atlanta ~ Savannah ,My Inner Goddess belongs to Christian Grey ~ Waiting for Fifty Shades Darker ~ Blogging with @Weaimtoplease50 ~ #TVD ~ #GreyIntern ~ #Crossfire ~ #RIPTwistex,View,
1/28/2016,@MsJoy8710,Joie,Now I just need Leila and Jack #FiftyShades,692840179648737280,Echofon,469,577,0,0,No,9/20/2010,,Don't judge me and we could be friends.,View,
1/28/2016,@fsog_smiler,Steffi Smiler,"Just like I imagined, Kim is the perfect Ellena 😍❤️ #FiftyShades",692840565180755968,Twitter for iPhone,1039,1270,0,0,No,6/23/2009,PLUTO,"As long as the sun’s shining, shit can’t be that bad ♡ #Smiler #GREYsessed #booknerd & many more fandoms...",View,
1/28/2016,@Laters_Fifty,Marie M.,Mrs. Robinson is here!!! #FiftyShades #Exciting https://t.co/pcWf9o2Dje,692840885747200000,Twitter for iPhone,271,502,0,1,No,4/2/2015,Escala,First-time fangirl thanks to #FiftyShades. Get ready for lots of stills @Marie_Morlet is my alter ego. #FiftyShades #JamieDornan #ChristianGrey #FSoG,View,
1/28/2016,@emilylongeretta,Emily Longeretta,#FiftyShades has found its Mrs. Robinson https://t.co/yXmxlhJNif https://t.co/EYgC20VYUC,692841310307221504,Twitter Web Client,2720,1085,0,3,No,4/2/2009,New York City.,Senior TV/Entertainment Editor. I'd rather watch a rerun than a premiere. I like writing & cats. Send me stuff: emilylongeretta@hollywoodlife.com,View,
1/28/2016,@ItsMandy_ish,Mrs Francy Pants,ELENA FUCKING ROBINSON I WILL LOVE TO HATE YOU SO GOOD 🙌🏼🙌🏼🙌🏼🙌🏼 #teamfifty #fsf #fsd #fiftyshades https://t.co/KYxwFrTdgB,692841533616173056,Twitter for iPhone,1321,340,6,29,No,4/22/2011,official fifty member  ,I fall in love with every pretty thing. I also have a cheese fetish. Best part of anything I say is what I don't say. I curse a lot & I kinda like Jamie Dornan,View,
